NewsAgency,Compound,Positive,Negative,Neutral,Tweets_Ago
@BBC,0.0,0.0,0.0,1.0,1
@BBC,0.361,0.122,0.0,0.878,2
@BBC,0.0,0.0,0.0,1.0,3
@BBC,0.572,0.171,0.0,0.829,4
@BBC,0.402,0.222,0.156,0.623,5
@BBC,-0.778,0.0,0.327,0.673,6
@BBC,0.772,0.528,0.0,0.472,7
@BBC,0.361,0.185,0.0,0.815,8
@BBC,0.0,0.0,0.0,1.0,9
@BBC,0.0,0.0,0.0,1.0,10
@BBC,0.932,0.559,0.0,0.441,11
@BBC,0.0,0.0,0.0,1.0,12
@BBC,-0.727,0.106,0.305,0.588,13
@BBC,0.0,0.0,0.0,1.0,14
@BBC,-0.681,0.051,0.219,0.73,15
@BBC,0.866,0.3,0.0,0.7,16
@BBC,0.624,0.194,0.0,0.806,17
@BBC,0.0,0.0,0.0,1.0,18
@BBC,0.758,0.213,0.0,0.787,19
@BBC,0.812,0.303,0.0,0.697,20
@BBC,0.586,0.147,0.0,0.853,21
@BBC,0.0,0.0,0.0,1.0,22
@BBC,0.422,0.123,0.0,0.877,23
@BBC,0.778,0.393,0.097,0.51,24
@BBC,0.0,0.0,0.0,1.0,25
@BBC,0.781,0.383,0.0,0.617,26
@BBC,0.557,0.159,0.0,0.841,27
@BBC,0.0,0.0,0.0,1.0,28
@BBC,0.402,0.171,0.0,0.829,29
@BBC,0.784,0.266,0.0,0.734,30
@BBC,0.34,0.146,0.0,0.854,31
@BBC,-0.813,0.0,0.27,0.73,32
@BBC,0.0,0.0,0.0,1.0,33
@BBC,-0.226,0.0,0.106,0.894,34
@BBC,0.202,0.073,0.0,0.927,35
@BBC,0.0,0.0,0.0,1.0,36
@BBC,-0.309,0.0,0.17,0.83,37
@BBC,0.44,0.139,0.0,0.861,38
@BBC,0.541,0.259,0.0,0.741,39
@BBC,-0.16,0.0,0.075,0.925,40
@BBC,0.0,0.0,0.0,1.0,41
@BBC,-0.361,0.0,0.143,0.857,42
@BBC,0.0,0.0,0.0,1.0,43
@BBC,0.796,0.47,0.0,0.53,44
@BBC,0.44,0.108,0.0,0.892,45
@BBC,0.804,0.369,0.086,0.544,46
@BBC,-0.791,0.0,0.259,0.741,47
@BBC,-0.459,0.0,0.138,0.862,48
@BBC,0.226,0.079,0.0,0.921,49
@BBC,-0.557,0.099,0.242,0.659,50
@BBC,0.653,0.215,0.052,0.733,51
@BBC,0.7,0.216,0.0,0.784,52
@BBC,0.0,0.0,0.0,1.0,53
@BBC,0.361,0.172,0.0,0.828,54
@BBC,0.318,0.108,0.0,0.892,55
@BBC,0.511,0.268,0.0,0.732,56
@BBC,0.0,0.0,0.0,1.0,57
@BBC,0.382,0.14,0.0,0.86,58
@BBC,0.0,0.0,0.0,1.0,59
@BBC,0.178,0.16,0.122,0.718,60
@BBC,0.0,0.0,0.0,1.0,61
@BBC,0.0,0.0,0.0,1.0,62
@BBC,0.318,0.108,0.0,0.892,63
